model,params,comment,threshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_train,f1_train,precision_train,recall_train,acc_train
<catboost.core.CatBoostClassifier object at 0x000002299E951700>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 4,0.059998,0.746,0.662,0.53,0.883,0.692,False,0.752,0.615,0.857,0.479,0.589
<catboost.core.CatBoostClassifier object at 0x000002299EAC1D00>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 4 + 6,0.057419,0.738,0.651,0.522,0.865,0.683,False,0.734,0.626,0.824,0.504,0.588
<catboost.core.CatBoostClassifier object at 0x000002299D7EBEB0>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 4 + 5 + 6,0.057271,0.731,0.634,0.5,0.865,0.658,False,0.757,0.633,0.858,0.501,0.603
<catboost.core.CatBoostClassifier object at 0x000002299ED82370>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",02 + 3 + 4 + 5 + 6,0.0589,0.731,0.655,0.527,0.865,0.689,False,0.76,0.617,0.866,0.479,0.593
<catboost.core.CatBoostClassifier object at 0x000002299EA949A0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",302 + 4,0.014351,0.837,0.575,0.429,0.87,0.695,False,0.877,0.509,0.367,0.831,0.75
<catboost.core.CatBoostClassifier object at 0x000002299ECCCBB0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",302 + 4 + 6,0.01382,0.833,0.576,0.428,0.883,0.692,False,0.848,0.462,0.325,0.795,0.71
<catboost.core.CatBoostClassifier object at 0x000002299E988160>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",302 + 4 + 5 + 6,0.013479,0.825,0.571,0.422,0.883,0.686,False,0.864,0.481,0.34,0.819,0.723
<catboost.core.CatBoostClassifier object at 0x000002299E8B2910>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",302 + 3 + 4 + 5 + 6,0.013758,0.82,0.541,0.388,0.896,0.64,False,0.881,0.474,0.332,0.831,0.712
<catboost.core.CatBoostClassifier object at 0x000002299EA95B20>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",902 + 4,0.00406,0.912,0.555,0.394,0.94,0.689,False,0.817,0.215,0.123,0.848,0.616
<catboost.core.CatBoostClassifier object at 0x000002299ECA4DC0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",902 + 4 + 6,0.004664,0.938,0.636,0.481,0.94,0.778,False,0.777,0.229,0.136,0.727,0.695
<catboost.core.CatBoostClassifier object at 0x000002299E901FD0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",902 + 4 + 5 + 6,0.004106,0.923,0.589,0.436,0.91,0.738,False,0.83,0.223,0.131,0.758,0.672
<catboost.core.CatBoostClassifier object at 0x000002299EA4AEB0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",902 + 3 + 4 + 5 + 6,0.004001,0.9,0.575,0.421,0.91,0.723,False,0.877,0.227,0.131,0.848,0.64
