model,params,comment,threshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_train,f1_train,precision_train,recall_train,acc_train
<catboost.core.CatBoostClassifier object at 0x000002299D744AF0>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",0 2 + 4,0.046003,0.742,0.582,0.449,0.829,0.594,False,0.634,0.584,0.729,0.487,0.562
<catboost.core.CatBoostClassifier object at 0x000002299EBF3A60>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",0 2 + 4 + 6,0.046095,0.739,0.574,0.447,0.802,0.594,False,0.634,0.574,0.723,0.476,0.555
<catboost.core.CatBoostClassifier object at 0x000002299EC525E0>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",0 2 + 4 + 5 + 6,0.045927,0.727,0.55,0.417,0.811,0.548,False,0.639,0.574,0.726,0.475,0.556
<catboost.core.CatBoostClassifier object at 0x000002299EEECC40>,"{'iterations': 1500, 'learning_rate': 0.001, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.01], 'eval_metric': 'AUC'}",0 2 + 3 + 4 + 5 + 6,0.04633,0.732,0.545,0.411,0.811,0.538,False,0.641,0.577,0.734,0.475,0.56
<catboost.core.CatBoostClassifier object at 0x000002299EA1C610>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",30 2 + 4,0.014188,0.836,0.553,0.411,0.844,0.677,False,0.765,0.375,0.256,0.703,0.673
<catboost.core.CatBoostClassifier object at 0x000002299EC5DAF0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",30 2 + 4 + 6,0.013968,0.849,0.53,0.381,0.87,0.634,False,0.776,0.365,0.242,0.743,0.64
<catboost.core.CatBoostClassifier object at 0x000002299EFBDB80>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",30 2 + 4 + 5 + 6,0.014147,0.84,0.529,0.378,0.883,0.628,False,0.791,0.381,0.255,0.757,0.657
<catboost.core.CatBoostClassifier object at 0x000002299EC7CA30>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",30 2 + 3 + 4 + 5 + 6,0.01406,0.833,0.5,0.355,0.844,0.6,False,0.797,0.394,0.263,0.784,0.664
<catboost.core.CatBoostClassifier object at 0x000002299D597940>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",90 2 + 4,0.003754,0.898,0.456,0.298,0.97,0.523,False,0.757,0.154,0.085,0.804,0.536
<catboost.core.CatBoostClassifier object at 0x000002299EAEF430>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",90 2 + 4 + 6,0.004037,0.907,0.546,0.38,0.97,0.668,False,0.764,0.169,0.095,0.75,0.611
<catboost.core.CatBoostClassifier object at 0x000002299F1D56D0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",90 2 + 4 + 5 + 6,0.003851,0.898,0.491,0.328,0.97,0.585,False,0.766,0.159,0.088,0.786,0.56
<catboost.core.CatBoostClassifier object at 0x00000229F846C4C0>,"{'iterations': 1500, 'learning_rate': 0.0192, 'depth': 4, 'l2_leaf_reg': 8.8, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}",90 2 + 3 + 4 + 5 + 6,0.003898,0.896,0.476,0.316,0.97,0.56,False,0.759,0.156,0.087,0.786,0.552
