model,params,comment,treshold,roc_auc,f1,precision,recall,acc,use_cross_val,roc_auc_std,f1_std,precision_std,recall_std,acc_std
<catboost.core.CatBoostClassifier object at 0x0000019CD6930B50>,"{'iterations': 1000, 'learning_rate': 1e-06, 'depth': 5, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-06, l2=1, 1000 iter, depth=5",0.5,0.6829,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD69AEE50>,"{'iterations': 1000, 'learning_rate': 1e-06, 'depth': 5, 'l2_leaf_reg': 2, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-06, l2=2, 1000 iter, depth=5",0.5,0.6796,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD61CAD00>,"{'iterations': 1000, 'learning_rate': 1e-06, 'depth': 5, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-06, l2=3, 1000 iter, depth=5",0.5,0.6831,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7AC1820>,"{'iterations': 1000, 'learning_rate': 1e-06, 'depth': 5, 'l2_leaf_reg': 4, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-06, l2=4, 1000 iter, depth=5",0.5,0.6899,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD750D0A0>,"{'iterations': 1000, 'learning_rate': 1e-06, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-06, l2=5, 1000 iter, depth=5",0.5,0.6958,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD641FA60>,"{'iterations': 1000, 'learning_rate': 1e-05, 'depth': 5, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-05, l2=1, 1000 iter, depth=5",0.5,0.6818,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD60392B0>,"{'iterations': 1000, 'learning_rate': 1e-05, 'depth': 5, 'l2_leaf_reg': 2, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-05, l2=2, 1000 iter, depth=5",0.5,0.6795,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD6B9B820>,"{'iterations': 1000, 'learning_rate': 1e-05, 'depth': 5, 'l2_leaf_reg': 3, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-05, l2=3, 1000 iter, depth=5",0.5,0.684,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD69E44C0>,"{'iterations': 1000, 'learning_rate': 1e-05, 'depth': 5, 'l2_leaf_reg': 4, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-05, l2=4, 1000 iter, depth=5",0.5,0.6889,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD7254250>,"{'iterations': 1000, 'learning_rate': 1e-05, 'depth': 5, 'l2_leaf_reg': 5, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=1e-05, l2=5, 1000 iter, depth=5",0.5,0.6953,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD664CF10>,"{'iterations': 1000, 'learning_rate': 0.0001, 'depth': 5, 'l2_leaf_reg': 1, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.0001, l2=1, 1000 iter, depth=5",0.5,0.669,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
<catboost.core.CatBoostClassifier object at 0x0000019CD71BD550>,"{'iterations': 1000, 'learning_rate': 0.0001, 'depth': 5, 'l2_leaf_reg': 2, 'loss_function': 'Logloss', 'random_seed': 1, 'use_best_model': False, 'verbose': False, 'class_weights': [1, 0.1], 'eval_metric': 'AUC'}","lr=0.0001, l2=2, 1000 iter, depth=5",0.5,0.6723,0.0,0.0,0.0,0.6585,False,0,0,0,0,0
